-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2024 in LST
Location: latitude  13.1799   longitude 79.7856 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 48.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,T2M,RH2M,WS10M,PRECTOTCORR
2023,3,3,6.618,5.8949,2.089,0.68,25.88,68.59,3.71,0.0
2023,3,4,6.6233,5.9846,2.1103,0.68,26.41,66.97,3.85,0.0
2023,3,5,6.775,6.0974,2.1763,0.69,26.45,69.87,3.89,0.0
2023,3,6,6.9233,6.7493,1.7926,0.7,26.47,67.86,3.42,0.0
2023,3,7,5.9866,4.0291,2.5435,0.61,26.36,68.22,3.18,0.0
2023,3,8,6.5314,5.1058,2.4691,0.66,26.7,65.56,4.15,0.0
2023,3,9,5.2159,1.7369,3.0907,0.53,27.22,64.5,3.73,0.0
2023,3,10,5.4314,2.4082,2.9393,0.55,26.98,69.71,3.8,0.0
2023,3,11,6.6038,5.3326,2.4518,0.66,26.76,70.07,3.94,0.0
2023,3,12,7.0639,7.157,1.704,0.71,27.49,69.92,3.88,0.01
2023,3,13,7.0968,7.4014,1.5485,0.71,27.91,66.41,3.51,0.01
2023,3,14,6.623,5.6021,2.1629,0.66,27.75,68.25,3.34,0.02
2023,3,15,6.1339,4.3831,2.6138,0.61,27.95,71.71,3.76,0.04
2023,3,16,5.1113,2.0018,2.8622,0.51,28.21,71.36,4.22,0.13
2023,3,17,3.9545,1.2106,2.1266,0.39,27.93,75.24,3.53,10.01
2023,3,18,4.6404,1.613,2.6182,0.46,27.82,77.04,4.18,10.1
2023,3,19,4.6039,2.1617,2.2682,0.45,27.49,77.8,3.1,19.92
2023,3,20,5.6554,3.3305,2.5997,0.56,27.52,78.1,3.83,11.9
2023,3,21,6.277,4.9205,2.3993,0.62,28.24,75.92,3.3,1.79
2023,3,22,5.7262,3.8796,3.1637,0.56,29.03,73.18,3.72,0.39
2023,3,23,4.6224,1.3049,2.6842,0.45,28.81,76.23,4.04,2.02
2023,3,24,6.0271,3.6943,2.6299,0.59,28.76,74.99,4.26,2.69
2023,3,25,5.8169,2.9707,2.9088,0.57,29.04,72.38,3.83,0.03
2023,3,26,4.9382,1.3661,2.8519,0.48,28.96,73.4,3.35,0.13
2023,3,27,6.2328,4.0279,2.7377,0.6,29.63,70.9,3.32,0.16
2023,3,28,5.9674,3.541,2.7982,0.58,29.31,71.86,3.94,0.03
2023,3,29,6.9398,5.639,2.3448,0.67,28.95,70.78,3.91,0.01
2023,3,30,6.2753,3.8414,2.8291,0.6,28.58,70.01,3.63,0.01
2023,3,31,6.3161,4.0603,2.7288,0.61,28.98,67.71,4.44,0.01
2023,4,1,5.2774,2.4624,2.6366,0.51,29.27,71.17,4.35,0.02
2023,4,2,5.4487,2.6282,2.9453,0.52,29.27,73.05,4.87,0.97
2023,4,3,6.0799,4.3651,2.3606,0.58,29.34,74.12,4.67,0.26
2023,4,4,6.4394,4.583,2.5913,0.62,29.51,71.28,4.07,0.03
2023,4,5,6.3984,3.9751,2.9921,0.61,28.95,73.8,3.98,0.03
2023,4,6,6.7613,4.8154,2.8306,0.65,29.48,70.09,3.58,0.01
2023,4,7,6.9742,5.2464,2.6345,0.67,29.29,68.71,3.43,0.0
2023,4,8,6.8875,5.7624,2.243,0.66,29.16,65.65,3.32,0.0
2023,4,9,6.9514,5.4514,2.5399,0.66,28.94,68.3,3.38,0.01
2023,4,10,7.5679,7.6459,1.6886,0.72,29.01,67.22,2.65,0.0
2023,4,11,7.6466,7.5509,1.6944,0.73,29.23,62.6,2.33,0.0
2023,4,12,7.5886,7.2218,1.8425,0.72,29.74,57.99,2.59,0.0
2023,4,13,7.17,5.921,2.376,0.68,30.69,52.62,2.99,0.0
2023,4,14,7.062,5.5618,2.4626,0.67,30.61,57.99,3.61,0.0
2023,4,15,6.1255,3.4416,2.9659,0.58,31.07,55.87,3.28,0.0
2023,4,16,6.8935,5.093,2.7439,0.65,30.31,59.96,3.57,0.0
2023,4,17,7.1304,6.0672,2.1518,0.67,31.03,57.25,4.0,0.0
2023,4,18,7.3558,6.6298,2.0102,0.7,30.78,60.54,3.38,0.0
2023,4,19,7.2377,5.9198,2.4199,0.68,30.8,61.09,3.75,0.0
2023,4,20,7.177,6.0557,2.2032,0.68,31.59,65.28,4.67,0.0
2023,4,21,5.874,3.4272,2.5822,0.55,31.85,64.69,4.96,0.12
2023,4,22,5.4067,1.9913,2.97,0.51,31.62,65.45,4.3,0.67
2023,4,23,5.1365,1.9668,2.8505,0.48,31.64,65.07,5.33,3.5
2023,4,24,6.8179,5.0722,2.5949,0.64,30.84,67.85,5.09,2.17
2023,4,25,6.5136,4.2734,2.7454,0.61,30.07,70.92,3.83,2.14
2023,4,26,6.7975,4.8238,2.6071,0.64,30.48,63.51,3.24,0.07
2023,4,27,6.4085,3.5954,3.2083,0.6,30.59,65.16,3.29,0.09
2023,4,28,6.6893,4.6426,2.765,0.63,30.92,65.36,3.69,0.32
2023,4,29,6.1138,3.2359,3.0564,0.58,30.77,67.18,3.53,1.27
2023,4,30,6.4435,4.655,2.4247,0.61,30.83,64.38,3.72,0.55
2023,5,1,4.6188,1.1258,2.7091,0.43,29.21,73.13,3.15,14.52
2023,5,2,4.8046,1.6212,2.7574,0.45,28.1,81.9,3.47,12.13
2023,5,3,5.3546,1.6327,3.2263,0.5,27.83,82.81,3.32,1.28
2023,5,4,5.3126,2.1629,2.7413,0.5,29.45,72.96,2.32,0.98
2023,5,5,4.1294,0.6413,2.9429,0.39,28.25,78.33,1.9,6.0
2023,5,6,4.6493,2.3983,2.2332,0.44,29.45,71.08,1.66,7.4
2023,5,7,5.064,1.2732,3.4642,0.48,29.32,73.2,2.66,3.23
2023,5,8,6.6336,5.1245,2.8164,0.62,29.32,76.05,2.66,8.36
2023,5,9,6.9398,5.6374,2.3405,0.65,29.95,71.53,2.88,0.14
2023,5,10,6.1534,3.5861,3.0598,0.58,29.88,71.05,2.6,0.15
2023,5,11,5.1062,1.4585,2.9244,0.48,30.41,70.36,2.48,0.07
2023,5,12,4.956,0.684,3.552,0.47,31.64,66.11,3.07,0.06
2023,5,13,4.0694,0.1296,3.0425,0.38,33.29,59.36,4.09,0.02
2023,5,14,6.4644,4.4186,3.0022,0.61,34.15,55.34,4.49,0.01
2023,5,15,6.9979,5.5466,2.5349,0.66,33.52,59.98,3.98,1.03
2023,5,16,7.1882,6.4222,1.92,0.68,33.34,59.73,3.8,0.18
2023,5,17,7.0562,6.0842,2.0916,0.67,32.65,66.61,4.0,0.19
2023,5,18,5.8154,3.6458,2.3357,0.55,31.37,71.2,3.81,0.1
2023,5,19,6.5856,4.5842,2.7226,0.62,30.9,74.06,4.52,0.12
2023,5,20,5.9609,3.27,2.9134,0.56,31.24,71.64,3.93,0.07
2023,5,21,5.4058,2.4398,2.7113,0.51,30.29,76.56,3.73,0.17
2023,5,22,5.9479,3.246,2.7151,0.56,30.38,76.47,4.04,0.16
2023,5,23,6.169,3.1709,2.9201,0.58,30.76,72.5,4.1,0.06
2023,5,24,6.2311,3.4601,2.9338,0.59,31.92,65.54,5.04,0.06
2023,5,25,6.1044,3.7078,2.7139,0.58,33.23,57.15,3.7,0.5
2023,5,26,6.4234,3.8532,2.9825,0.61,33.36,55.67,3.95,0.27
2023,5,27,6.481,4.933,2.2862,0.61,33.84,55.62,3.33,2.46
2023,5,28,5.495,3.3593,2.3981,0.52,32.91,58.07,4.63,0.84
2023,5,29,6.635,4.7906,2.6923,0.63,32.38,63.99,4.04,0.35
2023,5,30,4.7189,1.9198,2.5018,0.45,31.44,68.69,3.57,2.08
2023,5,31,6.4066,4.0358,2.9458,0.61,31.25,69.9,2.35,0.58
2023,6,1,6.2566,3.5232,2.7931,0.59,32.34,63.01,4.86,0.5
2023,6,2,6.6362,4.602,2.7614,0.63,33.1,57.72,3.95,0.17
2023,6,3,6.287,4.5487,3.0226,0.6,33.76,54.76,5.35,0.04
2023,6,4,4.6382,2.4914,2.4665,0.44,33.53,55.26,4.29,0.03
2023,6,5,6.0446,3.1838,3.0365,0.57,31.66,62.43,6.44,2.71
2023,6,6,6.7836,5.2126,2.4612,0.64,32.2,59.27,5.69,1.2
2023,6,7,5.1226,1.5142,3.1558,0.49,28.61,75.89,6.33,3.04
2023,6,8,6.0602,3.1675,3.1042,0.58,31.11,66.19,5.96,0.35
2023,6,9,6.3502,3.636,2.8517,0.6,30.34,69.86,5.0,5.24
2023,6,10,6.5328,4.3692,2.6314,0.62,31.31,65.1,2.99,6.7
2023,6,11,6.4135,4.8338,2.7382,0.61,31.81,59.37,5.35,0.01
2023,6,12,6.7714,5.783,2.1091,0.64,31.78,63.28,4.64,4.57
2023,6,13,6.6967,5.0623,2.2915,0.64,31.16,66.78,3.53,2.31
2023,6,14,6.4622,4.6373,3.1399,0.61,30.27,71.26,4.47,2.5
2023,6,15,7.1227,6.2878,2.0393,0.68,31.3,65.04,4.19,0.73
2023,6,16,7.019,5.8128,2.1886,0.67,32.16,64.13,3.84,1.61
2023,6,17,3.8328,0.4925,2.8176,0.36,29.26,72.75,5.26,8.83
2023,6,18,3.3437,0.6377,2.2762,0.32,27.98,80.55,4.93,48.9
2023,6,19,1.8833,0.1819,1.3553,0.18,29.47,75.81,4.49,21.5
2023,6,20,4.5542,0.6262,3.1231,0.43,29.48,76.98,3.35,12.83
2023,6,21,3.0535,0.0336,2.305,0.29,27.48,81.24,2.75,1.73
2023,6,22,4.7143,0.6067,3.2611,0.45,28.79,79.69,2.23,8.34
2023,6,23,4.3301,0.1646,3.229,0.41,29.25,77.83,2.77,6.08
2023,6,24,4.9246,1.0025,3.45,0.47,29.23,74.83,3.22,3.76
2023,6,25,4.325,0.1298,3.2532,0.41,28.27,80.21,4.09,7.82
2023,6,26,5.0796,0.9245,3.4402,0.48,29.75,70.56,2.97,0.15
2023,6,27,5.0894,0.9187,3.5746,0.48,30.14,69.05,2.63,0.15
2023,6,28,5.7972,3.4682,2.6218,0.55,29.66,68.03,3.96,0.16
2023,6,29,5.8944,4.2257,2.489,0.56,30.08,69.4,3.0,1.62
2023,6,30,6.4702,4.1047,2.6465,0.62,30.74,66.42,3.25,0.56
2023,7,1,5.7274,2.7806,3.1985,0.55,30.25,69.37,2.75,3.01
2023,7,2,3.3324,0.1032,2.4864,0.32,27.44,78.47,5.22,3.24
2023,7,3,4.0447,0.6763,2.6971,0.39,27.97,80.12,4.31,4.82
2023,7,4,3.9062,0.2974,2.8303,0.37,28.23,79.22,3.75,3.92
2023,7,5,3.9694,0.1416,2.9539,0.38,29.46,67.13,5.83,1.34
2023,7,6,4.2538,0.1874,3.2023,0.41,29.09,69.75,5.49,0.15
2023,7,7,4.9397,1.8209,3.1562,0.47,29.37,68.08,4.49,0.22
2023,7,8,4.4736,0.2246,3.3466,0.43,29.72,69.84,3.44,1.94
2023,7,9,6.0422,3.1802,2.8925,0.58,29.79,70.06,2.82,4.36
2023,7,10,3.3353,0.2491,2.3594,0.32,28.83,77.62,3.34,8.05
2023,7,11,3.653,0.347,2.6278,0.35,28.86,76.32,3.62,3.13
2023,7,12,4.1208,0.2047,2.983,0.39,29.08,73.82,3.1,12.22
2023,7,13,5.029,1.5362,3.055,0.48,29.26,72.59,4.03,11.25
2023,7,14,5.1154,2.2867,2.6755,0.49,29.93,71.98,3.84,0.46
2023,7,15,6.1978,3.7169,2.867,0.59,29.79,68.5,4.02,0.14
2023,7,16,4.7758,0.6271,3.3463,0.45,30.05,71.23,2.8,0.06
2023,7,17,5.1149,1.2401,3.4078,0.49,30.07,71.34,4.14,0.11
2023,7,18,4.9267,1.0409,2.9278,0.47,30.27,68.44,5.0,0.04
2023,7,19,4.331,0.4574,2.9911,0.41,30.18,64.86,5.65,0.54
2023,7,20,4.4014,0.7013,2.6993,0.42,30.02,65.02,6.73,0.03
2023,7,21,3.6499,0.7586,2.4336,0.35,29.98,67.67,5.94,0.55
2023,7,22,3.1807,0.0955,2.3374,0.3,29.94,68.46,5.46,6.07
2023,7,23,2.646,0.1049,1.9982,0.25,29.18,73.19,4.42,2.07
2023,7,24,2.4254,0.0804,1.7652,0.23,27.96,79.37,4.97,7.47
2023,7,25,2.1276,0.0022,1.6116,0.2,27.46,79.23,4.8,6.91
2023,7,26,2.8534,0.0931,2.1125,0.27,28.81,74.17,5.61,6.64
2023,7,27,4.7062,1.8473,2.5056,0.45,29.15,68.17,6.08,0.02
2023,7,28,5.4797,3.2386,2.599,0.52,30.39,64.83,5.06,0.03
2023,7,29,5.4866,3.0456,2.6278,0.52,31.12,62.34,5.86,0.1
2023,7,30,5.6059,3.1212,2.6858,0.53,31.32,63.59,4.87,0.33
2023,7,31,5.5567,1.855,2.9962,0.53,30.94,67.77,4.11,0.18
2023,8,1,5.1499,1.1916,3.5306,0.49,31.57,64.38,4.49,0.07
2023,8,2,5.7245,2.7787,3.6221,0.54,31.14,62.46,4.26,0.03
2023,8,3,5.5865,2.6784,3.156,0.53,31.04,66.03,3.74,0.23
2023,8,4,5.4794,2.5538,2.8536,0.52,31.02,66.32,3.61,0.7
2023,8,5,5.9714,3.8645,2.5567,0.57,31.2,65.45,3.36,0.21
2023,8,6,5.9052,3.7224,2.807,0.56,30.97,67.26,3.6,0.17
2023,8,7,5.9386,3.192,3.4985,0.57,30.64,67.78,3.75,0.49
2023,8,8,4.6939,0.3924,3.2926,0.45,30.4,67.4,2.99,0.21
2023,8,9,5.7898,2.5548,2.9628,0.55,30.0,71.83,2.98,2.38
2023,8,10,5.0633,1.0702,3.1267,0.48,29.62,73.72,2.87,7.97
2023,8,11,4.8754,1.0126,3.1922,0.46,29.61,72.25,2.41,7.84
2023,8,12,5.3798,1.8847,2.9323,0.51,30.08,72.1,3.22,7.11
2023,8,13,5.7166,2.8082,3.7567,0.54,29.8,73.46,2.63,11.98
2023,8,14,5.3578,2.5476,2.6854,0.51,29.1,78.19,2.43,23.59
2023,8,15,5.8898,3.7774,2.5872,0.56,28.94,77.09,2.93,10.31
2023,8,16,6.2412,4.2557,2.4842,0.6,29.24,76.21,3.13,7.46
2023,8,17,5.9671,2.73,3.0622,0.57,28.76,80.85,3.3,23.85
2023,8,18,5.1106,0.9238,3.473,0.49,29.81,73.07,3.1,2.91
2023,8,19,5.1336,1.0171,3.3845,0.49,29.82,70.72,2.59,5.86
2023,8,20,5.8284,2.5202,3.0818,0.56,29.92,71.66,2.95,1.54
2023,8,21,5.9762,3.9005,2.6885,0.57,29.73,74.99,3.12,3.55
2023,8,22,6.0115,3.2765,2.8555,0.58,29.22,78.93,3.19,10.89
2023,8,23,5.5128,2.989,2.5495,0.53,28.65,81.11,3.19,16.42
2023,8,24,5.8404,3.0358,3.0199,0.56,27.85,84.03,2.35,20.33
2023,8,25,5.8598,3.1193,3.2544,0.56,28.26,82.66,2.65,1.48
2023,8,26,5.2666,2.4005,2.695,0.51,28.51,81.71,3.17,5.42
2023,8,27,5.081,1.1237,3.1601,0.49,28.78,79.99,2.34,16.61
2023,8,28,6.1565,4.3366,2.5565,0.59,28.63,79.26,3.83,4.07
2023,8,29,5.8546,3.2825,2.7725,0.56,28.29,81.77,3.14,10.59
2023,8,30,5.2872,2.5231,2.6434,0.51,28.74,79.96,2.92,5.64
2023,8,31,4.6795,2.346,2.328,0.45,28.18,84.84,2.83,3.02
2023,9,1,5.6549,3.1282,2.5483,0.55,28.75,80.74,4.07,2.24
2023,9,2,5.8094,2.8855,2.9942,0.56,28.18,84.27,3.71,5.46
2023,9,3,4.3985,0.329,3.2292,0.42,27.46,83.87,2.96,32.16
2023,9,4,2.3923,0.0343,1.7674,0.23,27.68,79.72,3.95,2.04
2023,9,5,1.7897,0.0562,1.3181,0.17,28.08,75.87,4.76,2.52
2023,9,6,4.6572,0.5126,3.323,0.45,28.21,80.55,4.49,4.57
2023,9,7,5.6544,3.0367,2.7269,0.55,28.23,79.55,4.82,19.19
2023,9,8,5.5128,2.6419,2.7876,0.54,28.23,77.26,4.64,1.06
2023,9,9,5.8457,3.8518,2.5291,0.57,27.93,78.56,4.1,0.3
2023,9,10,4.0994,0.2006,2.9681,0.4,26.91,84.83,3.61,0.66
2023,9,11,3.8878,0.5472,2.663,0.38,28.06,78.55,3.21,0.55
2023,9,12,5.2843,1.9654,3.2568,0.52,28.81,76.71,2.96,1.8
2023,9,13,5.9616,3.1327,3.053,0.58,28.81,77.87,2.84,8.37
2023,9,14,5.4809,1.8101,3.2606,0.54,28.94,77.34,3.96,4.99
2023,9,15,5.1689,3.6216,2.1511,0.51,28.48,77.47,4.49,4.02
2023,9,16,5.2987,3.557,2.275,0.52,27.63,82.93,4.42,27.6
2023,9,17,5.3194,3.131,2.5363,0.52,28.13,82.79,3.42,7.4
2023,9,18,6.1332,4.2458,3.041,0.6,28.22,82.13,3.53,6.86
2023,9,19,5.9707,3.4152,3.2734,0.59,27.92,82.96,3.76,4.7
2023,9,20,5.5613,2.8476,3.4099,0.55,27.75,82.64,3.02,3.42
2023,9,21,3.1003,0.1097,2.2814,0.31,27.15,84.23,3.43,4.08
2023,9,22,5.6532,2.4475,2.9309,0.56,28.22,82.57,3.54,0.91
2023,9,23,5.7763,3.4042,2.73,0.58,28.61,84.47,3.93,4.18
2023,9,24,6.0358,4.0579,2.501,0.6,28.3,84.45,3.54,13.01
2023,9,25,5.7242,3.6883,2.5116,0.57,26.79,88.59,3.35,16.03
2023,9,26,5.5906,3.0187,2.7934,0.56,27.58,85.21,3.64,10.41
2023,9,27,5.495,4.2122,2.0786,0.55,27.77,82.77,3.22,4.95
2023,9,28,5.7982,4.6433,2.298,0.58,28.02,82.37,3.07,12.18
2023,9,29,5.7698,4.236,2.2699,0.58,27.59,85.03,4.45,9.79
2023,9,30,5.5073,2.5018,2.8346,0.56,27.72,80.61,3.91,8.53
2023,10,1,5.6083,3.2062,2.6621,0.57,27.44,82.99,4.73,1.19
2023,10,2,5.2582,3.2436,2.3762,0.53,27.53,82.8,5.1,0.69
2023,10,3,5.7686,3.3341,2.8486,0.59,28.57,78.69,4.02,0.64
2023,10,4,4.9572,1.8139,2.8099,0.51,28.87,80.29,3.02,5.0
2023,10,5,4.8948,2.0249,2.8085,0.5,28.96,80.17,2.34,3.78
2023,10,6,5.1806,2.5663,2.771,0.53,28.36,82.18,2.35,2.56
2023,10,7,5.6743,3.3161,2.8166,0.58,28.68,82.33,2.22,1.1
2023,10,8,4.7928,2.0266,2.8001,0.49,28.23,85.94,3.08,0.63
2023,10,9,4.5012,1.7275,2.5462,0.47,28.05,85.96,2.71,0.4
2023,10,10,4.909,2.2243,2.6683,0.51,28.03,86.32,2.4,2.95
2023,10,11,5.6263,3.431,2.9186,0.59,28.04,82.89,2.2,2.44
2023,10,12,5.778,3.4241,2.724,0.6,27.62,80.09,2.63,0.04
2023,10,13,5.6575,3.5594,2.621,0.59,27.16,79.15,2.48,0.7
2023,10,14,4.2958,1.499,2.5615,0.45,27.58,81.34,2.25,3.96
2023,10,15,4.8521,2.189,2.5217,0.51,27.34,83.92,2.03,0.86
2023,10,16,4.5134,1.6762,2.5207,0.48,27.73,82.46,2.61,0.7
2023,10,17,5.6542,3.648,2.8082,0.6,27.83,79.77,3.29,0.24
2023,10,18,5.6062,3.5633,2.7187,0.6,27.73,75.35,3.4,0.01
2023,10,19,4.9826,2.2726,2.8114,0.53,27.62,77.26,3.05,0.0
2023,10,20,5.2001,2.7202,2.9287,0.56,27.65,78.06,2.76,0.26
2023,10,21,4.2509,1.5413,2.3621,0.46,27.74,81.5,4.06,7.89
2023,10,22,5.2042,3.3799,2.4379,0.56,27.78,79.91,3.98,0.46
2023,10,23,5.683,3.7306,2.688,0.61,27.41,68.17,3.11,0.01
2023,10,24,5.958,4.4899,2.5459,0.64,27.22,69.26,2.18,0.0
2023,10,25,6.0691,5.0954,2.317,0.66,27.61,71.58,2.51,0.01
2023,10,26,5.5819,4.2922,2.3472,0.61,27.34,76.89,2.84,0.01
2023,10,27,4.7609,3.0108,2.311,0.52,27.55,78.88,3.08,0.03
2023,10,28,4.7122,2.6534,2.3964,0.52,27.89,78.68,2.56,1.34
2023,10,29,4.6054,2.514,2.423,0.51,27.43,83.19,2.79,7.24
2023,10,30,3.0974,0.3475,2.1742,0.34,26.63,85.25,2.84,8.84
2023,10,31,3.4351,0.2376,2.2613,0.38,27.41,80.58,4.28,1.3
2023,11,1,4.2718,1.7695,2.3126,0.47,27.75,83.84,4.78,5.87
